code,category,name,seisiki_name,tosyo_category,start_day,start_FY,company_url,post_code,address,head_prefecture,category_with_code,stock_market
7624,建材・電気機械・金属卸,ＮａＩＴＯ,（株）ＮａＩＴＯ,卸売業,1953年1月23日,1952年度,https://www.naito.net/,〒114-8516,東京都北区昭和町２－１－１１,東京都,6050_卸売業,東証JQスタンダード
7625,飲食店,グローバルダイニング,（株）グローバルダイニング,小売業,1985年2月20日,1984年度,http://www.global-dining.com/,〒107-0062,東京都港区南青山７－１－５,東京都,6100_小売業,東証２部
7628,自動車部品,オーハシテクニカ,（株）オーハシテクニカ,卸売業,1953年3月12日,1952年度,https://www.ohashi.co.jp/,〒105-0001,東京都港区虎ノ門４－３－１３ヒューリック神谷町ビル,東京都,6050_卸売業,東証１部
7630,飲食店,壱番屋,（株）壱番屋,小売業,1982年7月1日,1982年度,http://www.ichibanya.co.jp/,〒491-8601,愛知県一宮市三ツ井６－１２－２３,愛知県,6100_小売業,東証１部
7634,バイオ・医薬品関連,星医療酸器,（株）星医療酸器,卸売業,1974年4月15日,1974年度,http://www.hosi.co.jp/,〒121-0836,東京都足立区入谷７－１１－１８,東京都,6050_卸売業,東証JQスタンダード
7635,建材・電気機械・金属卸,杉田エース,杉田エース（株）,卸売業,1948年9月11日,1948年度,http://www.sugita-ace.co.jp/,〒130-0021,東京都墨田区緑２－１４－１５,東京都,6050_卸売業,東証JQスタンダード
7636,専門店・ドラッグストア,ハンズマン,（株）ハンズマン,小売業,1964年12月23日,1964年度,http://www.handsman.co.jp/,〒885-0006,宮崎県都城市吉尾町２０８０,宮崎県,6100_小売業,東証JQスタンダード
7637,建材・電気機械・金属卸,白銅,白銅（株）,卸売業,1949年11月1日,1949年度,http://www.hakudo.co.jp/,〒100-8302,東京都千代田区丸の内２－５－２,東京都,6050_卸売業,東証１部
7638,衣料品・服飾品小売,ＮＥＷＡＲＴＨＯＬＤＩＮＧＳ,（株）ＮＥＷＡＲＴＨＯＬＤＩＮＧＳ,小売業,1994年9月5日,1994年度,http://newart-ir.jp/,〒104-0061,東京都中央区銀座１－１５－２銀座スイムビル,東京都,6100_小売業,東証JQスタンダード
7640,専門店・ドラッグストア,トップカルチャー,（株）トップカルチャー,小売業,1986年12月12日,1986年度,http://topculture.co.jp/,〒950-2022,新潟市西区小針４－９－１,新潟県,6100_小売業,東証１部
